t,l,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
3002893812,31,00f000,0bdf00,17cd00,23bb00,30a900,3ca000,47a000,54a000,60a000,6da000,788200,846000,903d00,9c1900,a20003,960014,890025,7d0035,710046,5e0061,450083,2c00a4,1500c4,0001e0,0013cf,0025be,0037ad,00489d,00598e,006b7d,007d6c
3005398875,31,00f000,0bdf00,17cd00,23bb00,30a900,3ca000,47a000,54a000,60a000,6da000,788200,846000,903d00,9c1900,a20003,960014,890025,7d0035,710046,5e0061,450083,2c00a4,1500c4,0001e0,0013cf,0025be,0037ad,00489d,00598e,006b7d,007d6c
3007905937,31,00f000,0bdf00,17cd00,23bb00,30a900,3ca000,47a000,54a000,60a000,6da000,788200,846000,903d00,9c1900,a20003,960014,890025,7d0035,710046,5e0061,450083,2c00a4,1500c4,0001e0,0013cf,0025be,0037ad,00489d,00598e,006b7d,007d6c
3010411000,31,00f000,0bdf00,17cd00,23bb00,30a900,3ca000,47a000,54a000,60a000,6da000,788200,846000,903d00,9c1900,a20003,960014,890025,7d0035,710046,5e0061,450083,2c00a4,1500c4,0001e0,0013cf,0025be,0037ad,00489d,00598e,006b7d,007d6c
3012918062,31,00f000,0bdf00,17cd00,23bb00,30a900,3ca000,47a000,54a000,60a000,6da000,788200,846000,903d00,9c1900,a20003,960014,890025,7d0035,710046,5e0061,450083,2c00a4,1500c4,0001e0,0013cf,0025be,0037ad,00489d,00598e,006b7d,007d6c
3015423125,31,00f000,0bdf00,17cd00,23bb00,30a900,3ca000,47a000,54a000,60a000,6da000,788200,846000,903d00,9c1900,a20003,960014,890025,7d0035,710046,5e0061,450083,2c00a4,1500c4,0001e0,0013cf,0025be,0037ad,00489d,00598e,006b7d,007d6c
3017924750,31,00f000,0bdf00,17cd00,23bb00,30a900,3ca000,47a000,54a000,60a000,6da000,788200,846000,903d00,9c1900,a20003,960014,890025,7d0035,710046,5e0061,450083,2c00a4,1500c4,0001e0,0013cf,0025be,0037ad,00489d,00598e,006b7d,007d6c
3020429812,31,00f000,0bdf00,17cd00,23bb00,30a900,3ca000,47a000,54a000,60a000,6da000,788200,846000,903d00,9c1900,a20003,960014,890025,7d0035,710046,5e0061,450083,2c00a4,1500c4,0001e0,0013cf,0025be,0037ad,00489d,00598e,006b7d,007d6c
3022934875,31,00f000,0bdf00,17cd00,23bb00,30a900,3ca000,47a000,54a000,60a000,6da000,788200,846000,903d00,9c1900,a20003,960014,890025,7d0035,710046,5e0061,450083,2c00a4,1500c4,0001e0,0013cf,0025be,0037ad,00489d,00598e,006b7d,007d6c
3025441937,31,00f000,0bdf00,17cd00,23bb00,30a900,3ca000,47a000,54a000,60a000,6da000,788200,846000,903d00,9c1900,a20003,960014,890025,7d0035,710046,5e0061,450083,2c00a4,1500c4,0001e0,0013cf,0025be,0037ad,00489d,00598e,006b7d,007d6c
3027947000,31,00f000,0bdf00,17cd00,23bb00,30a900,3ca000,47a000,54a000,60a000,6da000,788200,846000,903d00,9c1900,a20003,960014,890025,7d0035,710046,5e0061,450083,2c00a4,1500c4,0001e0,0013cf,0025be,0037ad,00489d,00598e,006b7d,007d6c
